Secchi Depth (cm) = 0068
Forel Ule Scale = 21
pH Colour Scale = 99
SensingSecchi S/N = A016
Latitude (degs N) = 34.30126
Longitude (degs E) = -78.01270
Date = 2026-05-27
Time (UTC), Pressure (mbar) MS5803, Temp (deg C) MS5803, Temp (deg C) 10KTHERM, Temp (deg C) TMP117, ED 415nm, ED 445nm, ED 480nm, ED 515nm, ED 555nm, ED 590nm, ED 630nm, ED 680nm, ED Clear, ED NIR, ED D-SAT, ED A-SAT, EU 415nm, EU 445nm, EU 480nm, EU 515nm, EU 555nm, EU 590nm, EU 630nm, EU 680nm, EU Clear, EU NIR, EU D-SAT, EU A-SAT
17:12:55, 1010.90, 28.77, 30.10, 27.633, 1776, 2692, 3707, 4167, 4871, 4709, 5734, 5955, 30655, 12466, 0, 0, 15762, 28796, 35584, 36000, 36000, 36000, 36000, 36000, 36000, 36000, 1, 1
17:12:55, 1011.20, 28.73, 30.13, 27.680, 5885, 4828, 10590, 6897, 23779, 16563, 23887, 23903, 36000, 36000, 1, 1, 1759, 3228, 3711, 5362, 10407, 12784, 15226, 22370, 33171, 19898, 0, 1
17:12:56, 1011.50, 28.79, 30.06, 27.680, 14346, 30390, 36000, 36000, 36000, 36000, 36000, 36000, 36000, 36000, 1, 1, 4224, 8099, 10007, 12080, 22445, 21137, 28897, 35255, 36000, 35989, 1, 1
17:12:57, 1011.40, 28.81, 30.10, 27.664, 7782, 4954, 14825, 6338, 24797, 24022, 19461, 26874, 36000, 36000, 1, 1, 3308, 5861, 7182, 9383, 8992, 10088, 14533, 18137, 36000, 22309, 1, 1
17:12:57, 1011.30, 28.84, 30.10, 27.656, 13276, 24313, 29290, 36000, 7821, 10184, 14606, 9270, 29680, 13207, 1, 1, 2708, 4310, 5918, 7477, 10014, 10781, 13392, 14554, 34539, 10637, 0, 1
17:12:58, 1012.10, 28.82, 30.11, 27.656, 14366, 23379, 31389, 32339, 4552, 4658, 5468, 6080, 17343, 6704, 0, 0, 6093, 9208, 13842, 15734, 22235, 21202, 27488, 28442, 36000, 32635, 1, 1
17:12:59, 1014.90, 28.86, 30.10, 27.594, 3823, 8106, 9698, 10894, 25266, 24887, 26009, 26267, 31663, 26302, 0, 0, 1108, 1858, 2541, 3539, 3537, 4082, 5258, 6156, 14012, 2907, 0, 0
17:12:59, 1018.20, 28.78, 30.10, 27.359, 5495, 9605, 13295, 16416, 31304, 31938, 34197, 34747, 36000, 24865, 1, 1, 410, 579, 1042, 1748, 2544, 3118, 4193, 5030, 9244, 1156, 0, 0
17:13:00, 1020.00, 28.69, 30.11, 27.359, 11359, 18145, 23050, 27234, 28591, 32870, 34543, 35422, 23250, 7465, 0, 1, 372, 521, 940, 1603, 2483, 3040, 4078, 4888, 8975, 1098, 0, 0
17:13:01, 1022.20, 28.62, 30.08, 27.187, 15014, 21209, 23691, 25891, 11394, 14822, 15299, 19469, 17116, 4271, 0, 0, 332, 444, 812, 1420, 2409, 2986, 4019, 4839, 8689, 1037, 0, 0
17:13:01, 1016.00, 28.56, 30.08, 27.133, 5134, 10251, 11691, 17224, 19596, 28178, 29548, 34266, 18523, 4733, 0, 1, 376, 522, 945, 1608, 2728, 3324, 4421, 5295, 9974, 1255, 0, 0
17:13:02, 1020.50, 28.51, 30.08, 27.133, 6682, 10762, 14285, 16223, 26725, 29233, 30807, 33110, 36000, 15860, 1, 1, 430, 608, 1091, 1830, 2947, 3587, 4802, 5769, 11343, 1428, 0, 0
17:13:03, 1016.00, 28.48, 30.08, 27.109, 6877, 12189, 15638, 18558, 7431, 15526, 18328, 12089, 33496, 7138, 0, 1, 497, 718, 1271, 2085, 3042, 3657, 4864, 5774, 11982, 1538, 0, 0
17:13:03, 1014.60, 28.45, 30.08, 27.109, 9256, 15253, 26374, 28949, 20130, 25765, 34519, 35962, 36000, 36000, 1, 1, 543, 799, 1418, 2257, 3174, 3771, 4974, 5837, 12799, 1610, 0, 0
17:13:04, 1018.00, 28.43, 30.08, 27.109, 9657, 21413, 31051, 35214, 35406, 34448, 35773, 35928, 36000, 36000, 1, 1, 453, 656, 1184, 1922, 2894, 3442, 4564, 5371, 11677, 1422, 0, 0
17:13:05, 1018.50, 28.41, 30.08, 27.117, 8401, 15496, 19864, 32806, 35994, 35633, 36000, 36000, 36000, 36000, 1, 1, 416, 602, 1091, 1775, 2782, 3313, 4395, 5166, 11130, 1361, 0, 0
17:13:05, 1023.90, 28.40, 30.04, 27.117, 9744, 16530, 24941, 30857, 33485, 34252, 35998, 35963, 36000, 28738, 1, 1, 326, 446, 819, 1409, 2497, 3032, 4073, 4855, 9998, 1177, 0, 0
17:13:06, 1024.10, 28.39, 30.06, 27.117, 4775, 9863, 14066, 21455, 35064, 31689, 36000, 36000, 36000, 35640, 1, 1, 344, 469, 861, 1475, 2320, 2830, 3832, 4580, 9251, 1078, 0, 0
17:13:07, 1021.90, 28.38, 30.06, 27.109, 3822, 7792, 11726, 17468, 29236, 27839, 35614, 36000, 36000, 35635, 1, 1, 372, 512, 939, 1591, 2625, 3176, 4269, 5078, 10547, 1247, 0, 0
17:13:07, 1022.70, 28.37, 30.06, 27.109, 10298, 14053, 24383, 33388, 33865, 36000, 36000, 36000, 36000, 35249, 1, 1, 341, 471, 865, 1471, 2625, 3171, 4233, 5036, 10589, 1257, 0, 0
17:13:08, 1025.10, 28.37, 30.08, 27.094, 5482, 11535, 15387, 20539, 33594, 34184, 35788, 35983, 36000, 30618, 1, 1, 287, 386, 715, 1250, 2236, 2730, 3687, 4398, 8874, 1025, 0, 0
17:13:09, 1024.80, 28.37, 30.02, 27.109, 5156, 10627, 15677, 21847, 27150, 26595, 30134, 34006, 36000, 26854, 1, 1, 326, 446, 825, 1416, 2378, 2884, 3873, 4599, 9442, 1090, 0, 0
17:13:09, 1030.90, 28.36, 30.00, 27.109, 6016, 10852, 19113, 21342, 32946, 35327, 36000, 36000, 36000, 20754, 1, 1, 250, 324, 601, 1080, 1803, 2244, 3094, 3724, 6956, 766, 0, 0
17:13:10, 1028.70, 28.36, 30.00, 27.133, 5773, 10179, 17772, 21752, 25641, 26987, 30492, 33414, 36000, 20962, 1, 1, 291, 367, 684, 1222, 2310, 2862, 3894, 4689, 9208, 1021, 0, 0
17:13:11, 1025.70, 28.35, 29.99, 27.133, 4675, 11198, 16396, 22661, 28384, 26080, 36000, 36000, 36000, 30029, 1, 1, 347, 469, 866, 1482, 2476, 3013, 4064, 4850, 9904, 1157, 0, 0
17:13:11, 1029.30, 28.35, 30.00, 27.133, 8486, 14627, 23961, 29163, 23957, 25242, 30239, 32292, 36000, 17770, 1, 1, 272, 351, 646, 1154, 1978, 2464, 3391, 4098, 7939, 900, 0, 0
17:13:12, 1025.00, 28.35, 30.00, 27.117, 3325, 6710, 9669, 14492, 16386, 17154, 21613, 30591, 36000, 19700, 1, 1, 314, 412, 762, 1323, 2234, 2743, 3724, 4466, 9045, 1048, 0, 0
17:13:13, 1017.60, 28.34, 29.99, 27.117, 5356, 12323, 15589, 22364, 34172, 33857, 35900, 36000, 36000, 36000, 1, 1, 396, 564, 1024, 1700, 2794, 3330, 4435, 5232, 11140, 1370, 0, 0
17:13:13, 1018.40, 28.33, 30.00, 27.117, 6712, 19879, 24010, 28870, 33459, 33057, 35221, 36000, 36000, 36000, 1, 1, 439, 635, 1146, 1863, 2789, 3319, 4415, 5214, 11201, 1400, 0, 0
17:13:14, 1019.60, 28.33, 30.02, 27.109, 7883, 13752, 24105, 24074, 30650, 29877, 32750, 33629, 36000, 32948, 1, 1, 434, 619, 1120, 1833, 3040, 3635, 4806, 5692, 12407, 1545, 0, 0
17:13:15, 1017.00, 28.33, 30.00, 27.109, 8877, 13401, 24460, 24979, 27925, 30004, 33416, 35531, 36000, 31557, 1, 1, 404, 578, 1047, 1716, 2911, 3464, 4564, 5396, 11803, 1520, 0, 0
17:13:15, 1020.00, 28.32, 30.00, 27.109, 12142, 19240, 34697, 31716, 35467, 35822, 35690, 36000, 36000, 36000, 1, 1, 450, 645, 1166, 1899, 2846, 3400, 4530, 5361, 11480, 1441, 0, 0
17:13:16, 1021.30, 28.32, 30.00, 27.094, 7755, 12520, 18990, 20696, 19812, 20449, 26080, 29352, 36000, 26572, 1, 1, 398, 557, 1013, 1687, 2624, 3159, 4222, 5007, 10573, 1295, 0, 0
17:13:17, 1025.40, 28.31, 29.99, 27.094, 5498, 11384, 20052, 21512, 29824, 34493, 35852, 35969, 36000, 34891, 1, 1, 304, 408, 748, 1305, 2088, 2569, 3509, 4199, 8236, 951, 0, 0
17:13:17, 1023.50, 28.31, 30.00, 27.094, 6216, 11087, 19949, 23345, 30641, 32697, 35398, 35867, 36000, 32727, 1, 1, 344, 463, 857, 1470, 2510, 3055, 4114, 4903, 10062, 1185, 0, 0
17:13:18, 1026.10, 28.31, 29.97, 27.094, 6031, 14058, 18631, 29226, 35638, 34904, 36000, 36000, 36000, 35775, 1, 1, 306, 409, 751, 1312, 2095, 2581, 3530, 4233, 8275, 966, 0, 0
17:13:19, 1024.40, 28.30, 29.97, 27.094, 3793, 7378, 11080, 16841, 22575, 22741, 27567, 29760, 36000, 22175, 1, 1, 333, 442, 811, 1409, 2374, 2915, 3955, 4746, 9590, 1143, 0, 0
17:13:19, 1020.70, 28.29, 29.99, 27.094, 4948, 8567, 10768, 13453, 24575, 26419, 33634, 35912, 36000, 31410, 1, 1, 379, 523, 959, 1617, 2745, 3308, 4421, 5249, 10998, 1342, 0, 0
17:13:20, 1017.40, 28.29, 29.99, 27.078, 6504, 12058, 17158, 25255, 24137, 28543, 36000, 36000, 36000, 36000, 1, 1, 416, 594, 1079, 1776, 2965, 3528, 4659, 5486, 11830, 1470, 0, 0
17:13:21, 1016.00, 28.29, 29.97, 27.094, 8855, 22226, 27417, 35539, 36000, 35967, 36000, 36000, 36000, 36000, 1, 1, 431, 629, 1134, 1841, 2924, 3446, 4537, 5312, 11718, 1461, 0, 0
17:13:21, 1017.00, 28.29, 29.97, 27.094, 8332, 22774, 26424, 31359, 36000, 36000, 36000, 36000, 36000, 36000, 1, 1, 394, 576, 1040, 1691, 2759, 3250, 4284, 5018, 11034, 1362, 0, 0
17:13:22, 1016.30, 28.29, 29.93, 27.109, 7641, 14941, 23279, 27342, 34898, 35990, 36000, 36000, 36000, 36000, 1, 1, 372, 541, 984, 1614, 2596, 3082, 4063, 4761, 10332, 1273, 0, 0
17:13:23, 1017.80, 28.29, 29.95, 27.125, 12614, 18879, 26674, 28208, 36000, 36000, 36000, 36000, 36000, 36000, 1, 1, 370, 545, 982, 1603, 2470, 2937, 3878, 4548, 9832, 1198, 0, 0
17:13:23, 1022.60, 28.29, 29.99, 27.125, 7613, 12039, 17113, 23565, 27724, 28416, 33087, 33547, 36000, 26662, 1, 1, 314, 435, 804, 1374, 2331, 2815, 3775, 4470, 9173, 1068, 0, 0
17:13:24, 1021.10, 28.30, 29.99, 27.133, 7667, 15298, 25345, 29742, 35684, 32983, 36000, 36000, 36000, 36000, 1, 1, 368, 518, 952, 1589, 2639, 3163, 4213, 4975, 10466, 1229, 0, 0
17:13:25, 1025.60, 28.30, 29.91, 27.125, 8405, 13276, 22189, 29684, 23195, 22723, 28723, 27517, 36000, 18218, 1, 1, 303, 407, 754, 1310, 2227, 2717, 3686, 4401, 8820, 1009, 0, 0
17:13:25, 1021.80, 28.30, 29.95, 27.125, 5492, 13441, 19225, 24723, 23952, 22153, 27597, 28525, 36000, 26511, 1, 1, 363, 495, 915, 1553, 2540, 3074, 4133, 4908, 10170, 1189, 0, 0
17:13:26, 1018.80, 28.29, 29.99, 27.125, 5679, 11300, 18920, 20856, 35670, 33866, 35893, 35945, 36000, 36000, 1, 1, 384, 547, 991, 1629, 2628, 3143, 4188, 4948, 10602, 1313, 0, 0
17:13:27, 1020.00, 28.29, 29.99, 27.125, 9230, 14471, 24293, 26584, 34621, 35357, 36000, 36000, 36000, 35235, 1, 1, 348, 487, 882, 1487, 2635, 3171, 4232, 5027, 10647, 1335, 0, 0
